index,,图像1,图像2,世界坐标差值X,世界坐标差值Y,像素坐标差X,像素坐标差Y,△thetaD
两角点坐标平移差值（左-右）,,,,0.0030489,0.00495434,-0.170898,0.203308

15,左相机,第6张图,第4张图,2.01447,-0.99993,-181.047,-93.3923,0.0233841,
15,右相机,第6张图,第4张图,2.00867,-1.00231,-180.978,-93.2979,-0.00256348,
两角点坐标平移差值（左-右）,,,,0.00579739,0.00237656,-0.0690918,-0.0944214

16,左相机,第7张图,第4张图,-0.996805,1.00054,89.1499,92.7609,-0.0172119,
16,右相机,第7张图,第4张图,-0.985498,0.994664,88.4456,92.0463,0.0409851,
两角点坐标平移差值（左-右）,,,,-0.0113068,0.00587463,0.704346,0.714661

17,左相机,第8张图,第4张图,3.01632,0.998985,-273.238,89.9079,0.0323181,
17,右相机,第8张图,第4张图,3.01845,0.993922,-273.676,89.8318,0.0450821,
两角点坐标平移差值（左-右）,,,,-0.00212574,0.00506306,0.43811,0.0761108

18,左相机,第9张图,第4张图,1.00516,0.999492,-91.6285,91.3127,0.0236893,
18,右相机,第9张图,第4张图,0.997984,1.00892,-90.9529,92.2944,-0.00505066,
两角点坐标平移差值（左-右）,,,,0.00717735,-0.00942612,-0.675659,-0.98175

19,左相机,第10张图,第4张图,0.00816917,1.00208,-1.60144,92.2244,0.0263062,
19,右相机,第10张图,第4张图,0.0112,1.00208,-1.70239,92.1941,0.0492859,
两角点坐标平移差值（左-右）,,,,-0.00303078,4.76837e-06,0.100952,0.0303345

20,左相机,第12张图,第4张图,1.01259,1.00283,-92.3019,91.6147,0.0285263,
20,右相机,第12张图,第4张图,1.0205,1.00007,-92.9834,91.4686,0.0757599,
两角点坐标平移差值（左-右）,,,,-0.0079155,0.00275421,0.681519,0.146057

21,左相机,第30张图,第4张图,4.01245,0.995804,-363.186,88.9424,0.0399551,
21,右相机,第30张图,第4张图,4.01304,1.00038,-363.632,89.8927,0.0418549,
两角点坐标平移差值（左-右）,,,,-0.000591278,-0.00457478,0.446411,-0.950317

22,左相机,第6张图,第5张图,0.00263405,-1.99948,1.48584,-184.03,0.00365448,
22,右相机,第6张图,第5张图,-0.000114441,-1.9969,1.38403,-183.732,-0.0126953,
两角点坐标平移差值（左-右）,,,,0.00274849,-0.00257778,0.101807,-0.297729

23,左相机,第7张图,第5张图,-3.00864,0.000992775,271.682,2.12305,-0.0369415,
23,右相机,第7张图,第5张图,-2.99429,7.24792e-05,270.807,1.61169,0.0308533,
两角点坐标平移差值（左-右）,,,,-0.0143557,0.000920296,0.875244,0.511353

24,左相机,第8张图,第5张图,1.00449,-0.00056076,-90.7054,-0.72998,0.0125885,
24,右相机,第8张图,第5张图,1.00966,-0.000669479,-91.3145,-0.602783,0.0349503,
两角点坐标平移差值（左-右）,,,,-0.00517464,0.000108719,0.609009,-0.127197

25,左相机,第9张图,第5张图,-1.00668,-5.43594e-05,90.9039,0.674805,0.00395966,
25,右相机,第9张图,第5张图,-1.01081,0.0143261,91.4087,1.85986,-0.0151825,
两角点坐标平移差值（左-右）,,,,0.00412846,-0.0143805,-0.504761,-1.18506

26,左相机,第10张图,第5张图,-2.00367,0.00253677,180.931,1.58655,0.00657654,
26,右相机,第10张图,第5张图,-1.99759,0.00748634,180.659,1.75952,0.0391541,
两角点坐标平移差值（左-右）,,,,-0.00607967,-0.00494957,0.271851,-0.172974

27,左相机,第12张图,第5张图,-0.999251,0.00328159,90.2306,0.976807,0.00879669,
27,右相机,第12张图,第5张图,-0.988287,0.00548172,89.3782,1.03406,0.0656281,
两角点坐标平移差值（左-右）,,,,-0.0109644,-0.00220013,0.852417,-0.057251

28,左相机,第30张图,第5张图,2.00061,-0.00374222,-180.653,-1.6955,0.0202255,
28,右相机,第30张图,第5张图,2.00425,0.0057869,-181.271,-0.54187,0.031723,
两角点坐标平移差值（左-右）,,,,-0.00364017,-0.00952911,0.61731,-1.15363

29,左相机,第7张图,第6张图,-3.01128,2.00047,270.197,186.153,-0.040596,
29,右相机,第7张图,第6张图,-2.99417,1.99697,269.423,185.344,0.0435486,
两角点坐标平移差值（左-右）,,,,-0.0171041,0.00349808,0.773438,0.809082

30,左相机,第8张图,第6张图,1.00185,1.99892,-92.1913,183.3,0.00893402,
30,右相机,第8张图,第6张图,1.00978,1.99623,-92.6985,183.13,0.0476456,
两角点坐标平移差值（左-右）,,,,-0.00792313,0.0026865,0.507202,0.170532

31,左相机,第9张图,第6张图,-1.00931,1.99942,89.4181,184.705,0.000305176,
31,右相机,第9张图,第6张图,-1.01069,2.01122,90.0247,185.592,-0.00248718,
两角点坐标平移差值（左-右）,,,,0.00137997,-0.0118027,-0.606567,-0.887329

32,左相机,第10张图,第6张图,-2.0063,2.00201,179.445,185.617,0.00292206,
32,右相机,第10张图,第6张图,-1.99747,2.00438,179.275,185.492,0.0518494,
两角点坐标平移差值（左-右）,,,,-0.00882816,-0.00237179,0.170044,0.124756

33,左相机,第12张图,第6张图,-1.00189,2.00276,88.7448,185.007,0.00514221,
33,右相机,第12张图,第6张图,-0.988173,2.00238,87.9941,184.766,0.0783234,
两角点坐标平移差值（左-右）,,,,-0.0137129,0.000377655,0.75061,0.240479

34,左相机,第30张图,第6张图,1.99797,1.99573,-182.139,182.335,0.016571,
34,右相机,第30张图,第6张图,2.00436,2.00269,-182.655,183.191,0.0444183,
两角点坐标平移差值（左-右）,,,,-0.00638866,-0.00695133,0.515503,-0.855896

35,左相机,第8张图,第7张图,4.01313,-0.00155354,-362.388,-2.85303,0.04953,
35,右相机,第8张图,第7张图,4.00395,-0.000741959,-362.122,-2.21448,0.00409698,
两角点坐标平移差值（左-右）,,,,0.00918102,-0.000811577,-0.266235,-0.63855

36,左相机,第9张图,第7张图,2.00197,-0.00104713,-180.778,-1.44824,0.0409012,
36,右相机,第9张图,第7张图,1.98348,0.0142536,-179.398,0.248169,-0.0460358,
两角点坐标平移差值（左-右）,,,,0.0184841,-0.0153008,-1.38,-1.69641

37,左相机,第10张图,第7张图,1.00497,0.001544,-90.7513,-0.536499,0.0435181,
37,右相机,第10张图,第7张图,0.996698,0.00741386,-90.1479,0.147827,0.00830078,
两角点坐标平移差值（左-右）,,,,0.00827599,-0.00586987,-0.603394,-0.684326

38,左相机,第12张图,第7张图,2.00939,0.00228882,-181.452,-1.14624,0.0457382,
38,右相机,第12张图,第7张图,2.006,0.00540924,-181.429,-0.577637,0.0347748,
两角点坐标平移差值（左-右）,,,,0.00339127,-0.00312042,-0.0228271,-0.568604

39,左相机,第30张图,第7张图,5.00925,-0.00473499,-452.336,-3.81854,0.0571671,
39,右相机,第30张图,第7张图,4.99854,0.00571442,-452.078,-2.15356,0.000869751,
两角点坐标平移差值（左-右）,,,,0.0107155,-0.0104494,-0.257935,-1.66498

40,左相机,第9张图,第8张图,-2.01116,0.000506401,181.609,1.40479,-0.00862885,
40,右相机,第9张图,第8张图,-2.02047,0.0149956,182.723,2.46265,-0.0501328,
两角点坐标平移差值（左-右）,,,,0.00930309,-0.0144892,-1.11377,-1.05786

41,左相机,第10张图,第8张图,-3.00815,0.00309753,271.636,2.31653,-0.00601196,
41,右相机,第10张图,第8张图,-3.00725,0.00815582,271.974,2.3623,0.0042038,
两角点坐标平移差值（左-右）,,,,-0.000905037,-0.00505829,-0.337158,-0.0457764

42,左相机,第12张图,第8张图,-2.00374,0.00384235,180.936,1.70679,-0.00379181,
42,右相机,第12张图,第8张图,-1.99795,0.0061512,180.693,1.63684,0.0306778,
两角点坐标平移差值（左-右）,,,,-0.00578976,-0.00230885,0.243408,0.0699463

43,左相机,第30张图,第8张图,0.996121,-0.00318146,-89.9479,-0.965515,0.00763702,
43,右相机,第30张图,第8张图,0.994587,0.00645638,-89.9562,0.0609131,-0.00322723,
两角点坐标平移差值（左-右）,,,,0.00153446,-0.00963783,0.00830078,-1.02643

44,左相机,第10张图,第9张图,-0.996992,0.00259113,90.0271,0.911743,0.00261688,
44,右相机,第10张图,第9张图,-0.986784,-0.00683975,89.2505,-0.100342,0.0543365,
两角点坐标平移差值（左-右）,,,,-0.0102081,0.00943089,0.776611,1.01208

45,左相机,第12张图,第9张图,0.00742531,0.00333595,-0.67334,0.302002,0.00483704,
45,右相机,第12张图,第9张图,0.0225182,-0.00884438,-2.03052,-0.825806,0.0808105,
两角点坐标平移差值（左-右）,,,,-0.0150928,0.0121803,1.35718,1.12781

46,左相机,第30张图,第9张图,3.00728,-0.00368786,-271.557,-2.3703,0.0162659,
46,右相机,第30张图,第9张图,3.01505,-0.0085392,-272.679,-2.40173,0.0469055,
两角点坐标平移差值（左-右）,,,,-0.00776863,0.00485134,1.12207,0.0314331

47,左相机,第12张图,第10张图,1.00442,0.00074482,-90.7004,-0.609741,0.00222015,
47,右相机,第12张图,第10张图,1.0093,-0.00200462,-91.281,-0.725464,0.026474,
两角点坐标平移差值（左-右）,,,,-0.00488472,0.00274944,0.580566,0.115723

48,左相机,第30张图,第10张图,4.00428,-0.00627899,-361.584,-3.28204,0.013649,
48,右相机,第30张图,第10张图,4.00184,-0.00169945,-361.93,-2.30139,-0.00743103,
两角点坐标平移差值（左-右）,,,,0.0024395,-0.00457954,0.345459,-0.980652

49,左相机,第13张图,第11张图,1.00254,-0.00422478,-90.5267,-1.06586,0.0156097,
49,右相机,第13张图,第11张图,1.00244,-0.00204372,-90.6608,-0.725342,0.0148239,
两角点坐标平移差值（左-右）,,,,0.000101089,-0.00218105,0.134033,-0.340515

50,左相机,第15张图,第11张图,1.00602,-2.00019,-89.1198,-184.773,0.00423431,
50,右相机,第15张图,第11张图,1.0085,-2.00086,-89.834,-184.637,0.00955963,
两角点坐标平移差值（左-右）,,,,-0.00248718,0.00067234,0.714233,-0.135559

51,左相机,第17张图,第11张图,-1.99912,-2.0027,182.249,-182.975,-0.0307541,
51,右相机,第17张图,第11张图,-1.99348,-1.99855,181.668,-182.816,-0.0105209,
两角点坐标平移差值（左-右）,,,,-0.00564194,-0.00414753,0.581543,-0.158997

52,左相机,第19张图,第11张图,2.00573,-2.00143,-179.394,-185.563,0.0089035,
52,右相机,第19张图,第11张图,2.00805,-1.99543,-180.238,-184.674,0.0134125,
两角点坐标平移差值（左-右）,,,,-0.00231934,-0.00600147,0.844238,-0.889099

53,左相机,第31张图,第11张图,-1.99549,-2.99822,182.779,-274.603,-0.00552368,
53,右相机,第31张图,第11张图,-1.99481,-2.99773,182.475,-274.748,-0.0121307,
两角点坐标平移差值（左-右）,,,,-0.000682831,-0.000487804,0.304321,0.145325

54,左相机,第30张图,第12张图,2.99986,-0.00702381,-270.884,-2.6723,0.0114288,
54,右相机,第30张图,第12张图,2.99253,0.000305176,-270.649,-1.57593,-0.033905,
两角点坐标平移差值（左-右）,,,,0.00732422,-0.00732899,-0.235107,-1.09637

55,左相机,第15张图,第13张图,0.00347328,-1.99596,1.40698,-183.707,-0.0113754,
55,右相机,第15张图,第13张图,0.00606155,-1.99881,0.826782,-183.912,-0.00526428,
两角点坐标平移差值（左-右）,,,,-0.00258827,0.00285339,0.5802,0.204956

56,左相机,第17张图,第13张图,-3.00167,-1.99847,272.776,-181.909,-0.0463638,
56,右相机,第17张图,第13张图,-2.99592,-1.9965,272.328,-182.09,-0.0253448,
两角点坐标平移差值（左-右）,,,,-0.00574303,-0.00196648,0.44751,0.181519

57,左相机,第19张图,第13张图,1.00319,-1.99721,-88.8669,-184.497,-0.00670624,
57,右相机,第19张图,第13张图,1.00561,-1.99339,-89.5771,-183.948,-0.00141144,
两角点坐标平移差值（左-右）,,,,-0.00242043,-0.00382042,0.710205,-0.548584

58,左相机,第31张图,第13张图,-2.99803,-2.99399,273.306,-273.537,-0.0211334,
58,右相机,第31张图,第13张图,-2.99725,-2.99568,273.136,-274.023,-0.0269547,
两角点坐标平移差值（左-右）,,,,-0.00078392,0.00169325,0.170288,0.48584

59,左相机,第16张图,第14张图,-1.0044,0.996849,89.8389,92.4265,-0.00179291,
59,右相机,第16张图,第14张图,-1.00095,1.00135,89.8386,92.67,0.0243607,
两角点坐标平移差值（左-右）,,,,-0.00344563,-0.0045042,0.000244141,-0.24353

60,左相机,第18张图,第14张图,-0.99795,0.999464,89.2542,92.6628,-0.00231171,
60,右相机,第18张图,第14张图,-0.997887,0.997705,89.5638,92.3326,0.00714874,
两角点坐标平移差值（左-右）,,,,-6.29425e-05,0.00175953,-0.309692,0.3302

61,左相机,第20张图,第14张图,1.00615,-1.00464,-89.9901,-93.1446,0.00298309,
61,右相机,第20张图,第14张图,1.0128,-1.00025,-90.9105,-92.575,0.0262909,
两角点坐标平移差值（左-右）,,,,-0.00664711,-0.00438404,0.92041,-0.56958

62,左相机,第32张图,第14张图,-0.995578,0.994601,89.0442,92.2136,0.0116272,
62,右相机,第32张图,第14张图,-0.991095,0.997109,88.9498,92.2742,0.0438766,
两角点坐标平移差值（左-右）,,,,-0.00448322,-0.00250816,0.0943604,-0.0606689

63,左相机,第17张图,第15张图,-3.00514,-0.00251007,271.369,1.79822,-0.0349884,
63,右相机,第17张图,第15张图,-3.00199,0.0023098,271.502,1.82166,-0.0200806,
两角点坐标平移差值（左-右）,,,,-0.00315475,-0.00481987,-0.13269,-0.0234375

64,左相机,第19张图,第15张图,0.999714,-0.00124741,-90.2739,-0.789978,0.00466919,
64,右相机,第19张图,第15张图,0.999546,0.00542641,-90.4039,-0.036438,0.00385284,
两角点坐标平移差值（左-右）,,,,0.000167847,-0.00667381,0.130005,-0.75354

65,左相机,第31张图,第15张图,-3.0015,-0.99803,271.899,-89.8301,-0.009758,
65,右相机,第31张图,第15张图,-3.00331,-0.99687,272.309,-90.111,-0.0216904,
两角点坐标平移差值（左-右）,,,,0.00180435,-0.00116014,-0.409912,0.280884

66,左相机,第18张图,第16张图,0.0064497,0.00261497,-0.584717,0.236328,-0.000518799,
66,右相机,第18张图,第16张图,0.00306702,-0.00364876,-0.27478,-0.337402,-0.0172119,
两角点坐标平移差值（左-右）,,,,0.00338268,0.00626373,-0.309937,0.57373

67,左相机,第20张图,第16张图,2.01055,-2.00149,-179.829,-185.571,0.004776,
67,右相机,第20张图,第16张图,2.01375,-2.00161,-180.749,-185.245,0.00193024,
两角点坐标平移差值（左-右）,,,,-0.00320148,0.000120163,0.920166,-0.32605

68,左相机,第32张图,第16张图,0.00882149,-0.00224781,-0.794678,-0.212891,0.0134201,
68,右相机,第32张图,第16张图,0.00985909,-0.00424385,-0.888794,-0.395752,0.019516,
两角点坐标平移差值（左-右）,,,,-0.0010376,0.00199604,0.0941162,0.182861

69,左相机,第19张图,第17张图,4.00485,0.00126266,-361.643,-2.5882,0.0396576,
69,右相机,第19张图,第17张图,4.00153,0.00311661,-361.906,-1.85809,0.0239334,
两角点坐标平移差值（左-右）,,,,0.0033226,-0.00185394,0.262695,-0.730103

70,左相机,第31张图,第17张图,0.00363541,-0.99552,0.529907,-91.6284,0.0252304,
70,右相机,第31张图,第17张图,-0.0013237,-0.99918,0.807129,-91.9327,-0.0016098,
两角点坐标平移差值（左-右）,,,,0.00495911,0.00365973,-0.277222,0.304321

71,左相机,第20张图,第18张图,2.0041,-2.0041,-179.244,-185.807,0.0052948,
71,右相机,第20张图,第18张图,2.01068,-1.99796,-180.474,-184.908,0.0191422,
两角点坐标平移差值（左-右）,,,,-0.00658417,-0.00614357,1.2301,-0.89978

72,左相机,第32张图,第18张图,0.00237179,-0.00486279,-0.209961,-0.449219,0.0139389,
72,右相机,第32张图,第18张图,0.00679207,-0.000595093,-0.614014,-0.0583496,0.0367279,
两角点坐标平移差值（左-右）,,,,-0.00442028,-0.00426769,0.404053,-0.390869

73,左相机,第31张图,第19张图,-4.00122,-0.996783,362.173,-89.0402,-0.0144272,
73,右相机,第31张图,第19张图,-4.00286,-1.0023,362.713,-90.0746,-0.0255432,
两角点坐标平移差值（左-右）,,,,0.00163651,0.00551367,-0.539917,1.03442

74,左相机,第32张图,第20张图,-2.00173,1.99924,179.034,185.358,0.0086441,
74,右相机,第32张图,第20张图,-2.00389,1.99736,179.86,184.849,0.0175858,
两角点坐标平移差值（左-右）,,,,0.00216389,0.00187588,-0.82605,0.508911

75,左相机,第24张图,第21张图,1.00902,-0.994555,-90.2577,-92.2186,0.0109482,
75,右相机,第24张图,第21张图,1.00779,-1.00159,-90.4568,-92.6949,0.00322723,
两角点坐标平移差值（左-右）,,,,0.00122833,0.00703096,0.199097,0.476379

76,左相机,第26张图,第21张图,-0.989056,-0.996056,90.1714,-91.0074,-0.00432587,
76,右相机,第26张图,第21张图,-0.989729,-0.994205,90.1963,-90.9452,-0.0139847,
两角点坐标平移差值（左-右）,,,,0.000673294,-0.00185013,-0.0249023,-0.0621948

77,左相机,第28张图,第21张图,3.00654,-0.99446,-270.636,-93.5587,0.0232544,
77,右相机,第28张图,第21张图,3.00512,-0.994884,-271.102,-93.1489,0.0128174,
两角点坐标平移差值（左-右）,,,,0.00142097,0.000423908,0.466431,-0.40979

78,左相机,第23张图,第22张图,1.00403,-1.00187,-89.8015,-92.8884,-0.00321198,
78,右相机,第23张图,第22张图,1.00927,-0.998628,-90.5924,-92.4237,0.0140762,
两角点坐标平移差值（左-右）,,,,-0.00523376,-0.00324345,0.790894,-0.464722

79,左相机,第25张图,第22张图,-0.000344276,0.00203037,0.0292969,0.187134,-0.00413513,
79,右相机,第25张图,第22张图,0.00119781,0.00295925,-0.110107,0.271606,0.00254822,
两角点坐标平移差值（左-右）,,,,-0.00154209,-0.000928879,0.139404,-0.0844727

80,左相机,第27张图,第22张图,0.00265789,0.00121593,-0.241089,0.110229,-0.0141754,
80,右相机,第27张图,第22张图,0.0071888,-0.00608158,-0.645874,-0.563416,0.00575256,
两角点坐标平移差值（左-右）,,,,-0.00453091,0.00729752,0.404785,0.673645

81,左相机,第29张图,第22张图,2.00128,-2.00431,-178.99,-185.824,-0.00920105,
81,右相机,第29张图,第22张图,2.00608,-1.99511,-180.06,-184.643,-0.00493622,
两角点坐标平移差值（左-右）,,,,-0.00479603,-0.00919819,1.06982,-1.18121

82,左相机,第25张图,第23张图,-1.00438,1.0039,89.8308,93.0756,-0.000923157,
82,右相机,第25张图,第23张图,-1.00807,1.00159,90.4823,92.6953,-0.011528,
两角点坐标平移差值（左-右）,,,,0.00369167,0.00231457,-0.651489,0.380249

83,左相机,第27张图,第23张图,-1.00138,1.00309,89.5604,92.9987,-0.0109634,
83,右相机,第27张图,第23张图,-1.00208,0.992546,89.9465,91.8603,-0.00832367,
两角点坐标平移差值（左-右）,,,,0.000702858,0.010541,-0.386108,1.13837

84,左相机,第29张图,第23张图,0.997251,-1.00244,-89.1885,-92.9359,-0.00598907,
84,右相机,第29张图,第23张图,0.996813,-0.996481,-89.4674,-92.2194,-0.0190125,
两角点坐标平移差值（左-右）,,,,0.000437737,-0.00595474,0.278931,-0.716492

85,左相机,第26张图,第24张图,-1.99807,-0.00150061,180.429,1.21118,-0.015274,
85,右相机,第26张图,第24张图,-1.99752,0.00738049,180.653,1.74976,-0.0172119,
两角点坐标平移差值（左-右）,,,,-0.000555038,-0.00888109,-0.223999,-0.538574

86,左相机,第28张图,第24张图,1.99752,9.53674e-05,-180.378,-1.34015,0.0123062,
86,右相机,第28张图,第24张图,1.99733,0.00670242,-180.645,-0.453979,0.00959015,
两角点坐标平移差值（左-右）,,,,0.000192642,-0.00660706,0.267334,-0.886169

87,左相机,第27张图,第25张图,0.00300217,-0.000814438,-0.270386,-0.0769043,-0.0100403,
87,右相机,第27张图,第25张图,0.00599098,-0.00904083,-0.535767,-0.835022,0.00320435,
两角点坐标平移差值（左-右）,,,,-0.00298882,0.00822639,0.265381,0.758118

88,左相机,第29张图,第25张图,2.00163,-2.00634,-179.019,-186.011,-0.00506592,
88,右相机,第29张图,第25张图,2.00488,-1.99807,-179.95,-184.915,-0.00748444,
两角点坐标平移差值（左-右）,,,,-0.00325394,-0.00826931,0.93042,-1.09674

89,左相机,第28张图,第26张图,3.99559,0.00159597,-360.807,-2.55133,0.0275803,
89,右相机,第28张图,第26张图,3.99485,-0.000678062,-361.298,-2.20374,0.0268021,
两角点坐标平移差值（左-右）,,,,0.000747681,0.00227404,0.491333,-0.347595

90,左相机,第29张图,第27张图,1.99863,-2.00552,-178.749,-185.935,0.00497437,
90,右相机,第29张图,第27张图,1.99889,-1.98903,-179.414,-184.08,-0.0106888,
两角点坐标平移差值（左-右）,,,,-0.000265121,-0.0164957,0.665039,-1.85486

